frame,time_seconds,object_id,class,cx,cy,x1,y1,x2,y2,visible
20,0.800,1,package,130,230,94,202,166,258,1
21,0.840,1,package,133,230,97,202,169,258,1
22,0.880,1,package,137,230,101,202,173,258,1
23,0.920,1,package,141,230,105,202,177,258,1
24,0.960,1,package,145,230,109,202,181,258,1
25,1.000,1,package,149,230,113,202,185,258,1
26,1.040,1,package,153,230,117,202,189,258,1
27,1.080,1,package,156,230,120,202,192,258,1
28,1.120,1,package,160,230,124,202,196,258,1
29,1.160,1,package,164,230,128,202,200,258,1
30,1.200,1,package,168,230,132,202,204,258,1
31,1.240,1,package,172,230,136,202,208,258,1
32,1.280,1,package,176,230,140,202,212,258,1
33,1.320,1,package,179,230,143,202,215,258,1
34,1.360,1,package,183,230,147,202,219,258,1
35,1.400,1,package,187,230,151,202,223,258,1
36,1.440,1,package,191,230,155,202,227,258,1
37,1.480,1,package,195,230,159,202,231,258,1
38,1.520,1,package,199,230,163,202,235,258,1
39,1.560,1,package,202,230,166,202,238,258,1
40,1.600,1,package,206,230,170,202,242,258,1
41,1.640,1,package,210,230,174,202,246,258,1
42,1.680,1,package,214,230,178,202,250,258,1
43,1.720,1,package,218,230,182,202,254,258,1
44,1.760,1,package,222,230,186,202,258,258,1
45,1.800,1,package,225,230,189,202,261,258,1
46,1.840,1,package,229,230,193,202,265,258,1
47,1.880,1,package,233,230,197,202,269,258,1
48,1.920,1,package,237,230,201,202,273,258,1
49,1.960,1,package,241,230,205,202,277,258,1
50,2.000,1,package,245,230,209,202,281,258,1
51,2.040,1,package,248,230,212,202,284,258,1
52,2.080,1,package,252,230,216,202,288,258,1
53,2.120,1,package,256,230,220,202,292,258,1
54,2.160,1,package,260,230,224,202,296,258,1
55,2.200,1,package,264,230,228,202,300,258,1
56,2.240,1,package,268,230,232,202,304,258,1
57,2.280,1,package,271,230,235,202,307,258,1
58,2.320,1,package,275,230,239,202,311,258,1
59,2.360,1,package,279,230,243,202,315,258,1
60,2.400,1,package,283,230,247,202,319,258,1
61,2.440,1,package,287,230,251,202,323,258,1
62,2.480,1,package,291,230,255,202,327,258,1
63,2.520,1,package,294,230,258,202,330,258,1
64,2.560,1,package,298,230,262,202,334,258,1
65,2.600,1,package,302,230,266,202,338,258,1
66,2.640,1,package,306,230,270,202,342,258,1
67,2.680,1,package,310,230,274,202,346,258,1
68,2.720,1,package,314,230,278,202,350,258,1
69,2.760,1,package,317,230,281,202,353,258,1
70,2.800,1,package,321,230,285,202,357,258,1
70,2.800,2,package,150,430,109,400,191,460,1
71,2.840,1,package,325,230,289,202,361,258,1
71,2.840,2,package,153,430,112,400,194,460,1
72,2.880,1,package,329,230,293,202,365,258,1
