frame,time_seconds,object_id,class,cx,cy,x1,y1,x2,y2,visible
30,1.200,11,package,130,220,92,191,168,249,1
31,1.240,11,package,132,220,94,191,170,249,1
32,1.280,11,package,135,220,97,191,173,249,1
33,1.320,11,package,137,220,99,191,175,249,1
34,1.360,11,package,140,220,102,191,178,249,1
35,1.400,11,package,143,220,105,191,181,249,1
36,1.440,11,package,145,220,107,191,183,249,1
37,1.480,11,package,148,220,110,191,186,249,1
38,1.520,11,package,150,220,112,191,188,249,1
39,1.560,11,package,153,220,115,191,191,249,1
40,1.600,11,package,156,220,118,191,194,249,1
41,1.640,11,package,158,220,120,191,196,249,1
42,1.680,11,package,161,220,123,191,199,249,1
43,1.720,11,package,163,220,125,191,201,249,1
44,1.760,11,package,166,220,128,191,204,249,1
45,1.800,11,package,169,220,131,191,207,249,1
46,1.840,11,package,171,220,133,191,209,249,1
47,1.880,11,package,174,220,136,191,212,249,1
48,1.920,11,package,177,220,139,191,215,249,1
49,1.960,11,package,179,220,141,191,217,249,1
50,2.000,11,package,182,220,144,191,220,249,1
51,2.040,11,package,184,220,146,191,222,249,1
52,2.080,11,package,187,220,149,191,225,249,1
53,2.120,11,package,190,220,152,191,228,249,1
54,2.160,11,package,192,220,154,191,230,249,1
55,2.200,11,package,195,220,157,191,233,249,1
56,2.240,11,package,197,220,159,191,235,249,1
57,2.280,11,package,200,220,162,191,238,249,1
58,2.320,11,package,203,220,165,191,241,249,1
59,2.360,11,package,205,220,167,191,243,249,1
60,2.400,11,package,208,220,170,191,246,249,1
60,2.400,12,package,1080,400,1043,372,1117,428,1
61,2.440,11,package,210,220,172,191,248,249,1
61,2.440,12,package,1076,400,1039,372,1113,428,1
62,2.480,11,package,213,220,175,191,251,249,1
62,2.480,12,package,1073,400,1036,372,1110,428,1
63,2.520,11,package,216,220,178,191,254,249,1
63,2.520,12,package,1070,400,1033,372,1107,428,1
64,2.560,11,package,218,220,180,191,256,249,1
64,2.560,12,package,1067,400,1030,372,1104,428,1
65,2.600,11,package,221,220,183,191,259,249,1
65,2.600,12,package,1063,400,1026,372,1100,428,1
66,2.640,11,package,224,220,186,191,262,249,1
66,2.640,12,package,1060,400,1023,372,1097,428,1
67,2.680,11,package,226,220,188,191,264,249,1
67,2.680,12,package,1057,400,1020,372,1094,428,1
68,2.720,11,package,229,220,191,191,267,249,1
68,2.720,12,package,1054,400,1017,372,1091,428,1
69,2.760,11,package,231,220,193,191,269,249,1
