frame,time_seconds,object_id,class,cx,cy,x1,y1,x2,y2,visible
20,0.800,31,package,130,230,93,202,167,258,1
21,0.840,31,package,132,230,95,202,169,258,1
22,0.880,31,package,135,230,98,202,172,258,1
23,0.920,31,package,138,230,101,202,175,258,1
24,0.960,31,package,141,230,104,202,178,258,1
25,1.000,31,package,143,230,106,202,180,258,1
26,1.040,31,package,146,230,109,202,183,258,1
27,1.080,31,package,149,230,112,202,186,258,1
28,1.120,31,package,152,230,115,202,189,258,1
29,1.160,31,package,154,230,117,202,191,258,1
30,1.200,31,package,157,230,120,202,194,258,1
31,1.240,31,package,160,230,123,202,197,258,1
32,1.280,31,package,163,230,126,202,200,258,1
33,1.320,31,package,165,230,128,202,202,258,1
34,1.360,31,package,168,230,131,202,205,258,1
35,1.400,31,package,171,230,134,202,208,258,1
36,1.440,31,package,174,230,137,202,211,258,1
37,1.480,31,package,177,230,140,202,214,258,1
38,1.520,31,package,179,230,142,202,216,258,1
39,1.560,31,package,182,230,145,202,219,258,1
40,1.600,31,package,185,230,148,202,222,258,1
41,1.640,31,package,188,230,151,202,225,258,1
42,1.680,31,package,190,230,153,202,227,258,1
43,1.720,31,package,193,230,156,202,230,258,1
44,1.760,31,package,196,230,159,202,233,258,1
45,1.800,31,package,199,230,162,202,236,258,1
46,1.840,31,package,201,230,164,202,238,258,1
47,1.880,31,package,204,230,167,202,241,258,1
48,1.920,31,package,207,230,170,202,244,258,1
49,1.960,31,package,210,230,173,202,247,258,1
50,2.000,31,package,212,230,175,202,249,258,1
51,2.040,31,package,215,230,178,202,252,258,1
52,2.080,31,package,218,230,181,202,255,258,1
53,2.120,31,package,221,230,184,202,258,258,1
54,2.160,31,package,224,230,187,202,261,258,1
55,2.200,31,package,226,230,189,202,263,258,1
56,2.240,31,package,229,230,192,202,266,258,1
57,2.280,31,package,232,230,195,202,269,258,1
58,2.320,31,package,235,230,198,202,272,258,1
59,2.360,31,package,237,230,200,202,274,258,1
60,2.400,31,package,240,230,203,202,277,258,1
61,2.440,31,package,243,230,206,202,280,258,1
62,2.480,31,package,246,230,209,202,283,258,1
63,2.520,31,package,248,230,211,202,285,258,1
64,2.560,31,package,251,230,214,202,288,258,1
65,2.600,31,package,254,230,217,202,291,258,1
66,2.640,31,package,257,230,220,202,294,258,1
67,2.680,31,package,259,230,222,202,296,258,1
68,2.720,31,package,262,230,225,202,299,258,1
69,2.760,31,package,265,230,228,202,302,258,1
70,2.800,31,package,268,230,231,202,305,258,1
71,2.840,31,package,271,230,234,202,308,258,1
72,2.880,31,package,273,230,236,202,310,258,1
73,2.920,31,package,276,230,239,202,313,258,1
74,2.960,31,package,279,230,242,202,316,258,1
75,3.000,31,package,282,230,245,202,319,258,1
76,3.040,31,package,284,230,247,202,321,258,1
77,3.080,31,package,287,230,250,202,324,258,1
78,3.120,31,package,290,230,253,202,327,258,1
79,3.160,31,package,293,230,256,202,330,258,1
80,3.200,31,package,295,230,258,202,332,258,1
80,3.200,32,package,140,360,101,330,179,390,1
81,3.240,31,package,298,230,261,202,335,258,1
81,3.240,32,package,143,360,104,330,182,390,1
82,3.280,31,package,301,230,264,202,338,258,1
82,3.280,32,package,146,360,107,330,185,390,1
83,3.320,31,package,304,230,267,202,341,258,1
83,3.320,32,package,149,360,110,330,188,390,1
84,3.360,31,package,306,230,269,202,343,258,1
84,3.360,32,package,152,360,113,330,191,390,1
85,3.400,31,package,309,230,272,202,346,258,1
85,3.400,32,package,155,360,116,330,194,390,1
86,3.440,31,package,312,230,275,202,349,258,1
86,3.440,32,package,159,360,120,330,198,390,1
87,3.480,31,package,315,230,278,202,352,258,1
87,3.480,32,package,162,360,123,330,201,390,1
88,3.520,31,package,318,230,281,202,355,258,1
88,3.520,32,package,165,360,126,330,204,390,1
89,3.560,31,package,320,230,283,202,357,258,1
89,3.560,32,package,168,360,129,330,207,390,1
90,3.600,31,package,323,230,286,202,360,258,1
90,3.600,32,package,171,360,132,330,210,390,1
91,3.640,31,package,326,230,289,202,363,258,1
91,3.640,32,package,175,360,136,330,214,390,1
92,3.680,31,package,329,230,292,202,366,258,1
92,3.680,32,package,178,360,139,330,217,390,1
93,3.720,31,package,331,230,294,202,368,258,1
93,3.720,32,package,181,360,142,330,220,390,1
94,3.760,31,package,334,230,297,202,371,258,1
94,3.760,32,package,184,360,145,330,223,390,1
95,3.800,31,package,337,230,300,202,374,258,1
95,3.800,32,package,187,360,148,330,226,390,1
96,3.840,31,package,340,230,303,202,377,258,1
96,3.840,32,package,191,360,152,330,230,390,1
97,3.880,31,package,342,230,305,202,379,258,1
97,3.880,32,package,194,360,155,330,233,390,1
98,3.920,31,package,345,230,308,202,382,258,1
98,3.920,32,package,197,360,158,330,236,390,1
99,3.960,31,package,348,230,311,202,385,258,1
99,3.960,32,package,200,360,161,330,239,390,1
100,4.000,31,package,351,230,314,202,388,258,1
100,4.000,32,package,203,360,164,330,242,390,1
101,4.040,31,package,353,230,316,202,390,258,1
101,4.040,32,package,206,360,167,330,245,390,1
102,4.080,31,package,356,230,319,202,393,258,1
102,4.080,32,package,210,360,171,330,249,390,1
103,4.120,31,package,359,230,322,202,396,258,1
103,4.120,32,package,213,360,174,330,252,390,1
104,4.160,31,package,362,230,325,202,399,258,1
104,4.160,32,package,216,360,177,330,255,390,1
105,4.200,31,package,365,230,328,202,402,258,1
105,4.200,32,package,219,360,180,330,258,390,1
106,4.240,31,package,367,230,330,202,404,258,1
106,4.240,32,package,222,360,183,330,261,390,1
107,4.280,31,package,370,230,333,202,407,258,1
107,4.280,32,package,226,360,187,330,265,390,1
108,4.320,31,package,373,230,336,202,410,258,1
108,4.320,32,package,229,360,190,330,268,390,1
109,4.360,31,package,376,230,339,202,413,258,1
109,4.360,32,package,232,360,193,330,271,390,1
110,4.400,31,package,378,230,341,202,415,258,1
110,4.400,32,package,235,360,196,330,274,390,1
111,4.440,31,package,381,230,344,202,418,258,1
111,4.440,32,package,238,360,199,330,277,390,1
112,4.480,31,package,384,230,347,202,421,258,1
112,4.480,32,package,242,360,203,330,281,390,1
113,4.520,31,package,387,230,350,202,424,258,1
113,4.520,32,package,245,360,206,330,284,390,1
114,4.560,31,package,389,230,352,202,426,258,1
114,4.560,32,package,248,360,209,330,287,390,1
115,4.600,31,package,392,230,355,202,429,258,1
115,4.600,32,package,251,360,212,330,290,390,1
116,4.640,31,package,395,230,358,202,432,258,1
116,4.640,32,package,254,360,215,330,293,390,1
117,4.680,31,package,398,230,361,202,435,258,1
117,4.680,32,package,257,360,218,330,296,390,1
118,4.720,31,package,400,230,363,202,437,258,1
118,4.720,32,package,261,360,222,330,300,390,1
119,4.760,31,package,403,230,366,202,440,258,1
119,4.760,32,package,264,360,225,330,303,390,1
120,4.800,31,package,406,230,369,202,443,258,1
120,4.800,32,package,267,360,228,330,306,390,1
121,4.840,31,package,409,230,372,202,446,258,1
121,4.840,32,package,270,360,231,330,309,390,1
122,4.880,31,package,412,230,375,202,449,258,1
122,4.880,32,package,273,360,234,330,312,390,1
123,4.920,31,package,414,230,377,202,451,258,1
123,4.920,32,package,277,360,238,330,316,390,1
124,4.960,31,package,417,230,380,202,454,258,1
124,4.960,32,package,280,360,241,330,319,390,1
125,5.000,31,package,420,230,383,202,457,258,1
125,5.000,32,package,283,360,244,330,322,390,1
126,5.040,31,package,423,230,386,202,460,258,1
126,5.040,32,package,286,360,247,330,325,390,1
127,5.080,31,package,425,230,388,202,462,258,1
127,5.080,32,package,289,360,250,330,328,390,1
128,5.120,31,package,428,230,391,202,465,258,1
128,5.120,32,package,293,360,254,330,332,390,1
129,5.160,31,package,431,230,394,202,468,258,1
129,5.160,32,package,296,360,257,330,335,390,1
130,5.200,31,package,434,230,397,202,471,258,1
130,5.200,32,package,299,360,260,330,338,390,1
131,5.240,31,package,436,230,399,202,473,258,1
131,5.240,32,package,302,360,263,330,341,390,1
132,5.280,31,package,439,230,402,202,476,258,1
132,5.280,32,package,305,360,266,330,344,390,1
133,5.320,31,package,442,230,405,202,479,258,1
133,5.320,32,package,308,360,269,330,347,390,1
134,5.360,31,package,445,230,408,202,482,258,1
134,5.360,32,package,312,360,273,330,351,390,1
135,5.400,31,package,447,230,410,202,484,258,1
135,5.400,32,package,315,360,276,330,354,390,1
136,5.440,31,package,450,230,413,202,487,258,1
136,5.440,32,package,318,360,279,330,357,390,1
137,5.480,31,package,453,230,416,202,490,258,1
137,5.480,32,package,321,360,282,330,360,390,1
138,5.520,31,package,456,230,419,202,493,258,1
138,5.520,32,package,324,360,285,330,363,390,1
139,5.560,31,package,459,230,422,202,496,258,1
139,5.560,32,package,328,360,289,330,367,390,1
140,5.600,31,package,461,230,424,202,498,258,1
140,5.600,32,package,331,360,292,330,370,390,1
141,5.640,31,package,464,230,427,202,501,258,1
141,5.640,32,package,334,360,295,330,373,390,1
142,5.680,31,package,467,230,430,202,504,258,1
142,5.680,32,package,337,360,298,330,376,390,1
143,5.720,31,package,470,230,433,202,507,258,1
143,5.720,32,package,340,360,301,330,379,390,1
144,5.760,31,package,472,230,435,202,509,258,1
