scenario_id,event_id,track_id,event_type,object_type,observed_at_seconds,confidence,evidence_image
S01_BASIC_GOODS,evt-0001,1,A_TO_B,package,8.360,0.96,evidence/evt_0001_82ff8470.jpg
S01_BASIC_GOODS,evt-0002,2,A_TO_B,package,10.680,0.96,evidence/evt_0002_187dc596.jpg
S01_BASIC_GOODS,evt-0003,3,B_TO_A,package,15.080,0.96,evidence/evt_0003_bd1bfa70.jpg
S02_OCCLUSION_REVERSAL,evt-0001,1,A_TO_B,package,12.440,0.96,evidence/evt_0001_875c71b5.jpg
S02_OCCLUSION_REVERSAL,evt-0002,2,B_TO_A,package,18.440,0.96,evidence/evt_0002_9e2b74da.jpg
S02_OCCLUSION_REVERSAL,evt-0003,3,A_TO_B,package,20.200,0.96,evidence/evt_0003_e808bcf3.jpg
S03_DENSE_CROSSING,evt-0001,1,A_TO_B,package,13.320,0.96,evidence/evt_0001_da01c290.jpg
S03_DENSE_CROSSING,evt-0002,2,A_TO_B,package,14.000,0.96,evidence/evt_0002_c0693dd9.jpg
S03_DENSE_CROSSING,evt-0003,3,B_TO_A,package,14.520,0.96,evidence/evt_0003_812425a9.jpg
S03_DENSE_CROSSING,evt-0004,4,B_TO_A,package,15.400,0.96,evidence/evt_0004_798efde9.jpg
S03_DENSE_CROSSING,evt-0005,5,A_TO_B,package,19.040,0.96,evidence/evt_0005_95bc98df.jpg
S04_DWELL_QUEUE,evt-0004,1,A_TO_B,package,18.160,0.96,evidence/evt_0004_0a4e8945.jpg
S04_DWELL_QUEUE,evt-0005,2,A_TO_B,package,21.280,0.96,evidence/evt_0005_2e12c6da.jpg
S04_DWELL_QUEUE,evt-0006,3,A_TO_B,package,24.360,0.96,evidence/evt_0006_0efb7bdb.jpg
